District_ID,SE_15_16_AlgI,SE_15_16_AlgII,SE_15_16_Geo,SE_15_16_1,SE_15_16_2,SE_15_16_3,SE_15_16_4,SE_15_16_5,SE_15_16_6,SE_15_16_7,SE_15_16_8,SE_15_16_K,SE_15_16_PreCalc,SE_15_16_Tot
001i000000qzpd4AAA,0,0,0,220,240,215,220,240,275,225,230,220,0,7370
001i000000qzpFCAAY,0,0,0,30,35,30,30,35,30,35,45,25,0,1035
001i000000qzpfZAAQ,0,0,0,60,61,40,55,55,0,0,0,50,0,1229
001i000000qzpxUAAQ,375,0,250,320,275,295,325,330,270,330,330,260,0,10930
001i000000qzpYiAAI,95,110,80,0,0,0,0,0,0,63.33333333,93.33333333,0,15,945
001i000000qzpzfAAA,0,0,0,0,50,50,40,40,0,0,0,0,0,680
001i000000qzq2uAAA,125,95,129,40,55,64,65,49,95,115,100,50,0,2871
001i000000qzqEeAAI,215,200,190,160,175,165,165,175,240,210,250,160,145,7425
001i000000qzqG1AAI,360,150,240,0,0,0,0,0,0,270,90,0,0,2580
001i000000qzqOjAAI,0,0,0,304,471.25,711.5,697,694,0,0,0,138,0,11369
001i000000qzqVGAAY,0,0,0,436,446,440,440,495,380,33,0,436,0,11516
001i000000qzsarAAA,150,0,150,100,120,110,110,110,110,130,130,100,0,2950
001i000000qzsbQAAQ,0,0,0,215,245,240,240,215,125,125,125,230,0,6450
001i000000qzsw0AAA,60,60,60,480,390,480,390,420,450,360,330,360,60,13560
001i000000qzsxlAAA,0,0,0,30,30,0,0,0,0,0,0,0,0,240
001i000000qzszJAAQ,75,0,55,447.25,437,439,396,560,426,294,231,405,0,13290
001i000000qzt0gAAA,0,0,0,235,210,190,210,175,185,195,190,190,0,6375
001i000000qzt1AAAQ,0,0,0,175,165,150,150,175,0,0,0,175,0,3785
001i000000sv4YIAAY,0,0,0,275,300,300,300,300,0,0,0,275,0,6700
001i000000sxKUOAA2,0,0,0,0,0,80,100,120,0,0,0,0,0,1080
001i000000sxLTkAAM,0,0,0,0,90,90,90,90,50,50,30,0,0,1740
001i000000tWvtHAAS,0,0,0,105,105,105,105,105,0,0,0,105,0,2415
001i000000tX1g7AAC,0,0,0,330,350,330,320,320,0,0,0,20,0,6360
001i000000tX1WlAAK,1228,283,593.5,17511.25,18597.5,19189.75,17622.25,17359.66667,9282.333333,5741,5011.666667,15397.5,24.5,469715
001i000000tXHjEAAW,0,0,0,104.75,136.25,114.5,114.75,118.6666667,0,0,0,80,0,2557
001i000000tY8MEAA0,0,0,0,0,0,0,60,60,0,0,0,0,0,420
001i000000tYCfzAAG,0,0,0,0,75,85,65,57,77,0,0,80,0,1488
001i000000tYCYEAA4,0,0,0,120,120,0,0,0,0,0,0,120,0,1440
001i000000w5VepAAE,0,0,0,0,0,0,150,166.6666667,216.6666667,0,0,0,0,1750
001i000000w6rS0AAI,0,0,0,144,196,179,141.5,158,180,180,180,155,0,4837
001i000000xdHdaAAE,0,0,0,125,125,125,125,150,0,0,0,125,0,2950
001i000000xdHdhAAE,0,0,0,185,165,175,185,166.6666667,0,0,0,165,0,3640
001i000000xdHdRAAU,0,0,0,50,150,145,130,105,0,0,0,0,0,2215
001i000000zzNeXAAU,0,0,0,400,375,400,425,425,475,425,0,375,0,11875
001i000000zzNSYAA2,10,10,10,466,472,437,485,490,0,0,0,351,3,10380
001i000000zzNtvAAE,0,0,0,160,110,160,190,195,0,0,0,135,0,3605
001i0000010htwGAAQ,0,0,0,265,175,175,175,175,0,0,0,240,0,4645
001i00000131jtgAAA,0,0,0,955,1015,955,940,905,0,0,0,965,0,22035
001i0000015xKZbAAM,0,0,0,90,320,410,340,340,375,420,350,325,0,10395
001i0000015xKZNAA2,0,0,0,54,37,54,35,36,36,60,55,0,0,1281
001i0000015xKZUAA2,0,0,0,1,1,1,1,135,10.33333333,135,0,1,0,861
001i0000016hWzoAAE,0,0,0,60,70,80,60,65,0,0,0,60,0,1515
001i0000016j76yAAA,20,0,0,0,0,0,0,0,0,100,120,0,0,700
001i0000016jNjkAAE,0,0,0,0,0,0,0,1,1,0,0,0,0,6
001i00000179aGAAAY,0,0,0,40,240,295,225,250,0,0,0,100,0,4350
001i00000179QlBAAU,2145,240,1035,960,990,870,810,840,750,540,540,0,90,29550
001i00000179SalAAE,120,0,0,0,0,0,0,0,300,270,270,0,0,2760
001i00000179SjFAAU,0,0,0,360,360,330,330,330,0,0,0,300,0,7710
001i00000179SQvAAM,0,0,0,0,0,190,180,181,161,0,0,0,0,2506
001i00000179TcAAAU,0,0,0,175,185,215,210,195,0,0,0,100,0,4125
001i00000179VmbAAE,0,0,0,300,360,360,380,303.3333333,250,0,220,320,0,8980
